Brand, DNLA, SKU_NO, SEQNUM, VIDEO1, VIDEO2, VIDEO3, 
185337,N,CH-6,1,https://www.youtube.com/embed/g4NOC-sqhvQ,,,
185337,N,CH-5,1,https://www.youtube.com/embed/g4NOC-sqhvQ,,,
185337,N,CH-4,1,https://www.youtube.com/embed/g4NOC-sqhvQ,,,
185337,N,CH-2,1,https://www.youtube.com/embed/g4NOC-sqhvQ,,,
185337,N,CH-1,1,https://www.youtube.com/embed/g4NOC-sqhvQ,,,
185328,N,10504,1,https://www.youtube.com/embed/sKa098vAKvE?rel=0,,,
185328,N,8381,1,https://www.youtube.com/embed/YqxFF_QFxlc,,,
185327,N,6164,1,https://www.youtube.com/embed/6jWqCJgTowE,,,
185328,N,6355,1,https://www.youtube.com/embed/ftG0gg6IqCk,,,
185328,N,6354,1,https://www.youtube.com/embed/ftG0gg6IqCk,,,
185328,N,9841,1,https://www.youtube.com/embed/sKa098vAKvE?rel=0,,,
185327,N,9479,1,https://www.youtube.com/embed/jQj0378BAxA?rel=0,https://www.youtube.com/embed/AHjVIJ0hB3c?rel=0,,
185329,N,9124,1,https://www.youtube.com/embed/mIolTCdmlZ8,https://www.youtube.com/embed/yaOCi0DMP1s,,
